size, quality, price
1.1,5,5169
0.83,5,3470
0.85,5,3183
0.91,5,4370
0.83,5,3171
1.53,5,12791
1.0,4,5747
1.5,1,10450
2.11,5,18609
1.05,4,7666
0.91,5,6224
1.01,3,5161
0.92,3,3679
2.51,4,34361
1.5,4,11004
2.2,5,22241
1.52,5,17659
1.28,4,6726
1.01,3,4238
0.9,4,3624
2.6,5,37621
0.8,4,3559
1.07,4,4829
2.02,3,19756
2.16,5,44121
2.03,3,23726
2.02,4,14839
1.01,4,5010
2.41,4,27337
0.9,3,3485
0.92,5,4025
1.01,5,9735
2.04,4,41867
1.56,5,14957
0.77,2,3321
2.01,4,18023
2.05,4,19976
1.01,4,6257
1.01,4,5534
0.86,5,4228
1.01,3,4905
2.29,4,34657
1.28,5,10958
2.12,5,33667
0.9,5,4921
1.44,5,10768
2.28,5,73209
1.01,2,12996
2.29,5,27097
0.8,5,3817
1.06,2,9645
1.62,5,18281
0.83,5,4024
1.58,5,16625
0.91,4,4546
1.01,1,5628
1.13,5,9653
2.0,3,14321
0.83,4,3249
0.92,4,4286
1.25,5,11089
1.23,2,10859
1.51,3,12487
1.21,2,12111
1.02,4,6001
0.75,4,2734
0.78,4,2694
2.02,5,32060
0.9,3,4147
1.01,5,8860
1.02,5,6264
1.14,4,5640
1.5,4,10019
1.3,4,7018
1.01,4,18187
2.17,5,30156
0.9,5,4260
1.0,3,4864
2.24,5,40445
1.59,5,13839
1.02,5,5835
1.02,4,4932
2.1,2,26278
0.91,1,4036
1.62,4,12202
1.1,5,6387
0.91,4,4188
1.2,3,5818
0.9,4,4442
1.04,4,5369
1.66,5,13330
0.77,4,3643
1.63,4,9199
1.32,5,8014
1.71,4,17768
1.02,5,5590
1.04,5,6809
1.01,5,7411
1.2,4,9320
2.0,3,15438
1.01,4,4133
1.0,4,8638
0.9,5,3455
1.38,5,12684
1.0,4,4739
1.13,4,9947
0.79,5,2888
1.54,5,9998
0.81,4,2701
1.15,5,10555
1.51,4,13324
1.2,5,5476
1.1,4,5276
1.31,4,6885
1.03,5,6981
1.1,4,4545
1.01,4,9782
1.01,4,5224
1.01,4,6714
1.57,5,14283
1.01,3,4563
1.0,5,7370
1.21,4,7597
0.93,4,5140
1.78,4,16697
2.25,5,32691
0.93,4,5862
0.9,4,4064
1.01,4,4682
1.14,3,5487
1.05,4,7010
1.6,5,15000
1.01,3,4989
1.01,1,5122
0.75,4,3551
1.01,4,5731
2.03,4,15101
0.83,3,3422
1.02,4,6366
2.12,5,21846
2.04,5,16718
0.75,5,2782
2.17,5,22930
1.0,1,6627
1.0,3,5408
1.26,4,11255
1.31,5,7751
1.51,4,11923
1.02,4,5839
1.01,5,10503
0.91,5,4374
0.79,5,2712
0.79,3,2548
1.02,4,5667
2.02,4,17658
1.06,5,4745
1.01,4,7835
0.9,4,4729
2.15,4,27558
2.2,4,27535
1.22,5,10422
1.0,1,7553
0.8,4,2670
2.19,4,29635
1.32,5,16099
1.51,3,11056
1.01,3,5233
2.74,5,24089
1.02,4,8800
2.04,5,20045
1.02,5,7038
1.02,4,8252
2.08,5,18760
1.02,4,9246
1.06,5,5870
1.5,4,12751
1.57,4,21167
2.34,4,57208
1.2,5,6303
1.01,4,5619
1.32,5,11079
1.15,4,5831
0.91,4,4585
1.14,5,4894
1.13,5,7385
2.08,5,32149
0.9,3,7214
0.75,5,2501
2.66,5,96493
1.56,5,13543
1.02,4,8013
1.02,5,5795
1.53,4,15008
1.07,4,11019
1.2,4,6076
0.9,1,3842
1.23,5,13274
1.01,5,11442
1.06,2,10927
1.04,5,6769
1.51,5,12947
1.22,4,6350
0.9,4,4265
1.02,5,6622
0.8,4,3144
1.57,5,17548
2.08,4,30210
0.9,4,4671
1.5,5,12055
2.01,4,18149
1.28,5,7415
1.52,4,12877
1.0,3,4702
2.37,5,28063
2.02,3,29334
1.21,5,11045
1.54,3,10669
1.5,4,9706
0.78,4,4904
2.2,4,19671
1.14,5,9948
1.33,5,12345
1.04,5,11367
2.0,4,15381
0.9,4,5423
1.51,1,8681
1.23,4,10477
1.53,5,8971
1.04,4,5290
1.2,4,5630
2.13,5,70114
0.9,3,4072
1.09,5,7978
1.27,5,13279
1.01,3,4884
1.13,4,9788
1.01,4,5041
2.21,5,30440
2.03,5,21437
2.01,4,15675
2.13,4,17601
1.5,3,10755
1.27,5,6396
1.07,5,11327
2.14,3,20853
1.01,4,4727
1.0,5,5312
1.52,4,12275
1.19,5,8034
1.03,5,7856
1.01,3,5078
0.9,4,4105
2.02,5,20885
1.22,4,8340
1.13,5,5759
1.01,5,5870
1.04,5,7044
0.76,4,3367
0.93,5,3772
0.9,5,4369
1.22,4,9919
1.16,4,5695
2.5,4,20894
1.71,3,11250
1.29,5,7036
1.03,5,6913
0.9,5,5656
2.32,4,47800
1.51,3,8951
2.01,3,34255
1.0,4,5528
1.29,5,8858
2.23,5,28811
1.2,4,9574
0.78,5,2622
1.0,1,4269
0.92,4,5044
1.05,3,4785
1.1,4,4938
1.23,4,10435
0.76,3,3121
1.21,5,7111
2.01,5,20296
1.02,4,6612
1.04,3,4768
0.76,5,3114
1.01,5,7870
1.51,5,13588
1.22,5,10409
2.02,4,28739
1.09,5,7992
0.91,4,5134
1.0,1,6268
0.9,4,3709
1.32,4,6793
2.01,3,18341
1.01,5,5020
1.09,2,7709
1.0,4,5247
0.91,4,4143
1.55,2,11574
1.25,5,10983
1.03,5,8277
0.77,5,3345
2.01,5,18252
0.78,5,3581
1.5,2,17176
